tweet_id,created_at,tweets,location,retweets,favorites,Hashtags,processed_tweet,tweet_sentiment
1581028831208493056,2022-10-14 21:07:02,"Day 01/ 2 of #DataFestAfrica22.

Despite spending 3 hours + in traffic, on my way to Lagos, I still felt fulfilled today by attending the few sessions I met! 
'Awesome' is my tag word of @DataFestAfrica's event! https://t.co/RCL6m5cpEc",Nigeria,0,0,#datafestafrica22,despite spending hours traffic way still felt fulfilled attending sessions met awesome tag word event,positive
1581027112613396480,2022-10-14 21:00:12,"Day 1 ☑️
Some key points I took down yea🤗
📍You need to be curious and consistent to thrive in the data world.
📍In story telling,context is everything @YemorWale 
My best session was ""Contextual thinking and story telling for data professionals""❤️
@DataFestAfrica
#DFA22 https://t.co/979is4r19N",Lagos Nigeria,1,9,#dfa22,key points took need curious consistent thrive world story tellingcontext everything best session contextual thinking story telling professionals,positive
1581027078182273024,2022-10-14 21:00:04,"It's on Sunday I'll tweet my full experience at @DataFestAfrica and post on LinkedIn too. The thread will be long.
Y'all should shine now.
#DataFestAfrica22 #DFC22",Canigerda,0,1,#datafestafrica22 #dfc22,ill tweet full experience post linkedin thread long yall shine dfc,negative
1581025104037052416,2022-10-14 20:52:13,Hosting the maiden edition of @DataFestAfrica today with @TheDataEngrDuke was such a fantastic outing if I dare say so. I had the best time and amazing participants. Welldone to everyone who put this event together. Hopefully I’d have time to take more pictures tomorrow. https://t.co/jhkvxDGexG,Tired,1,8,,hosting maiden edition fantastic outing dare say best time amazing participants welldone everyone put event together hopefully id time take pictures tomorrow,positive
1581025082692227072,2022-10-14 20:52:08,"Day 1 of @DataFestAfrica , I won a 4G Mifi and guess what you can be a lucky winner tomorrow. Also, met with beautiful Data Benders.... 
@Yinkaoke, @TheOyinbooke #DataFestAfrica2022 https://t.co/AFgK9Ho3Li",Ile Ife Nigeria,0,1,#datafestafrica2022,mifi guess lucky winner tomorrow also met beautiful benders,positive
1581024723068391424,2022-10-14 20:50:42,"I enjoyed all the sessions at #datafestafrica2022 Day 1
Met new people, great people I must say!

Tomorrow we go again
@DataFestAfrica https://t.co/xbrL3f2W0H",Lagos Nigeria,0,0,#datafestafrica2022,enjoyed sessions met new people great people must say tomorrow go,positive
1581024098146455553,2022-10-14 20:48:13,"Day 1 of @DataFestAfrica event went beyond my expectations. Premium content from top notch speakers. Haaaa e choke 🥵
Kudos to @YemorWale I got an ungraded knowledge about data storytelling.
Couldn't see @seyiflawless 😢 but we move tomorrow.
@Yinkaoke
#datafestafrica2022 #DFA22 https://t.co/0S9nVyruA8",No location,2,15,#datafestafrica2022 #dfa22,event went beyond expectations premium content top notch speakers haaaa choke kudos got ungraded knowledge storytelling couldnt see move tomorrow,positive
1581023590182318080,2022-10-14 20:46:12,"Day 1 of @DataFestAfrica

Learnt a number of things and met people.

It was nice meeting you, @OluwatobiYusuf_. Thank you for providing an answer to my question. 🤗🤗 https://t.co/OeVdjaVByo",Nigeria,0,1,,learnt number things met people nice meeting thank providing answer question,positive
1581021239984156672,2022-10-14 20:36:52,"Day 1 of @DataFestAfrica done with my cute handsome infant! Let's  assemble tomorrow for the grand finale!  
#DFA22 #datafestafrica2022 https://t.co/9LAkQKLQrc",Lagos,0,3,#dfa22 #datafestafrica2022,done cute handsome infant lets assemble tomorrow grand finale,positive
1581019725709987841,2022-10-14 20:30:51,"This is probably a weird observation, but the women @DataFestAfrica had AMAZING HAIR! Natural hair, braids, locs, wigs... Everything was on point 🥺🥺💕💕🤌🏾🤌🏾",Remote,0,8,,probably weird observation women amazing hair natural hair braids locs wigs everything point,positive
